 X Position;  Y Position;  FeatureIds
47;  0.5;0
 46.75;  0.5;0
 46.5;  0.5;0
 46.25;  0.5;0
46;  0.5;0
 45.75;  0.5;0
 45.5;  0.5;0
 45.25;  0.5;0
45;  0.5;0
 44.75;  0.5;0
 44.5;  0.5;0
 44.25;  0.5;0
44;  0.5;0
 43.75;  0.5;0
 43.5;  0.5;0
 43.25;  0.5;0
43;  0.5;0
 42.75;  0.5;0
 42.5;  0.5;0
 42.25;  0.5;0
42;  0.5;0
 41.75;  0.5;0
 41.5;  0.5;0
 41.25;  0.5;0
41;  0.5;0
 40.75;  0.5;0
 40.5;  0.5;0
 40.25;  0.5;0
40;  0.5;0
 39.75;  0.5;0
 39.5;  0.5;0
 39.25;  0.5;0
39;  0.5;0
 38.75;  0.5;0
 38.5;  0.5;0
 38.25;  0.5;0
38;  0.5;0
 37.75;  0.5;0
 37.5;  0.5;0
 37.25;  0.5;0
37;  0.5;0
 36.75;  0.5;0
 36.5;  0.5;0
 36.25;  0.5;0
36;  0.5;0
 35.75;  0.5;0
 35.5;  0.5;0
 35.25;  0.5;0
35;  0.5;0
 34.75;  0.5;0
 34.5;  0.5;0
 34.25;  0.5;0
34;  0.5;0
 33.75;  0.5;0
 33.5;  0.5;0
 33.25;  0.5;0
33;  0.5;0
 32.75;  0.5;0
 32.5;  0.5;0
 32.25;  0.5;0
32;  0.5;0
 31.75;  0.5;0
 31.5;  0.5;0
 31.25;  0.5;0
31;  0.5;0
 30.75;  0.5;0
 30.5;  0.5;0
 30.25;  0.5;0
30;  0.5;0
 29.75;  0.5;0
 29.5;  0.5;0
 29.25;  0.5;0
29;  0.5;0
 28.75;  0.5;0
 28.5;  0.5;0
 28.25;  0.5;0
28;  0.5;0
 27.75;  0.5;0
 27.5;  0.5;0
 27.25;  0.5;0
27;  0.5;0
 26.75;  0.5;0
 26.5;  0.5;0
 26.25;  0.5;0
26;  0.5;0
 25.75;  0.5;0
 25.5;  0.5;0
 25.25;  0.5;0
25;  0.5;0
 24.75;  0.5;0
 24.5;  0.5;0
 24.25;  0.5;0
24;  0.5;0
 23.75;  0.5;0
 23.5;  0.5;0
 23.25;  0.5;0
23;  0.5;0
 22.75;  0.5;0
 22.5;  0.5;0
 22.25;  0.5;0
22;  0.5;0
 21.75;  0.5;0
 21.5;  0.5;0
 21.25;  0.5;0
21;  0.5;0
 20.75;  0.5;0
 20.5;  0.5;0
 20.25;  0.5;0
20;  0.5;0
 19.75;  0.5;0
 19.5;  0.5;0
 19.25;  0.5;0
19;  0.5;0
 18.75;  0.5;0
 18.5;  0.5;0
 18.25;  0.5;0
18;  0.5;0
 17.75;  0.5;0
 17.5;  0.5;0
 17.25;  0.5;0
17;  0.5;0
 16.75;  0.5;0
 16.5;  0.5;0
 16.25;  0.5;0
16;  0.5;0
 15.75;  0.5;0
 15.5;  0.5;0
 15.25;  0.5;0
15;  0.5;0
 14.75;  0.5;0
 14.5;  0.5;0
 14.25;  0.5;0
14;  0.5;0
 13.75;  0.5;0
 13.5;  0.5;0
 13.25;  0.5;0
13;  0.5;0
 12.75;  0.5;0
 12.5;  0.5;0
 12.25;  0.5;0
12;  0.5;0
 11.75;  0.5;0
 11.5;  0.5;0
 11.25;  0.5;0
11;  0.5;0
 10.75;  0.5;0
 10.5;  0.5;0
 10.25;  0.5;0
10;  0.5;0
 9.75;  0.5;0
 9.5;  0.5;0
 9.25;  0.5;0
9;  0.5;0
 8.75;  0.5;0
 8.5;  0.5;0
 8.25;  0.5;0
8;  0.5;0
 7.75;  0.5;0
 7.5;  0.5;0
 7.25;  0.5;0
7;  0.5;0
 6.75;  0.5;0
 6.5;  0.5;0
 6.25;  0.5;0
6;  0.5;0
 5.75;  0.5;0
 5.5;  0.5;0
 5.25;  0.5;0
5;  0.5;0
 4.75;  0.5;0
 4.5;  0.5;0
 4.25;  0.5;0
4;  0.5;0
 3.75;  0.5;0
 3.5;  0.5;0
 3.25;  0.5;0
3;  0.5;0
 2.75;  0.5;0
 2.5;  0.5;0
 2.25;  0.5;0
2;  0.5;0
 1.75;  0.5;0
 1.5;  0.5;0
 1.25;  0.5;0
1;  0.5;0
 0.75;  0.5;0
 0.5;  0.5;0
 0.25;  0.5;0
0;  0.5;0
47;  0.75;0
 46.75;  0.75;0
 46.5;  0.75;0
 46.25;  0.75;0
46;  0.75;0
 45.75;  0.75;0
 45.5;  0.75;0
 45.25;  0.75;0
45;  0.75;0
 44.75;  0.75;0
 44.5;  0.75;0
 44.25;  0.75;0
44;  0.75;0
 43.75;  0.75;0
 43.5;  0.75;0
 43.25;  0.75;0
43;  0.75;0
 42.75;  0.75;0
 42.5;  0.75;0
 42.25;  0.75;0
42;  0.75;0
 41.75;  0.75;0
 41.5;  0.75;0
 41.25;  0.75;0
41;  0.75;0
 40.75;  0.75;0
 40.5;  0.75;0
 40.25;  0.75;0
40;  0.75;0
 39.75;  0.75;0
 39.5;  0.75;0
 39.25;  0.75;0
39;  0.75;0
 38.75;  0.75;0
 38.5;  0.75;0
 38.25;  0.75;0
38;  0.75;0
 37.75;  0.75;0
 37.5;  0.75;0
 37.25;  0.75;0
37;  0.75;0
 36.75;  0.75;0
 36.5;  0.75;0
 36.25;  0.75;0
36;  0.75;0
 35.75;  0.75;0
 35.5;  0.75;0
 35.25;  0.75;0
35;  0.75;0
 34.75;  0.75;0
 34.5;  0.75;0
 34.25;  0.75;0
34;  0.75;0
 33.75;  0.75;0
 33.5;  0.75;0
 33.25;  0.75;0
33;  0.75;0
 32.75;  0.75;0
 32.5;  0.75;0
 32.25;  0.75;0
32;  0.75;0
 31.75;  0.75;0
 31.5;  0.75;0
 31.25;  0.75;0
31;  0.75;0
 30.75;  0.75;0
 30.5;  0.75;0
 30.25;  0.75;0
30;  0.75;0
 29.75;  0.75;0
 29.5;  0.75;0
 29.25;  0.75;0
29;  0.75;0
 28.75;  0.75;0
 28.5;  0.75;0
 28.25;  0.75;0
28;  0.75;0
 27.75;  0.75;0
 27.5;  0.75;0
 27.25;  0.75;0
27;  0.75;0
 26.75;  0.75;0
 26.5;  0.75;0
 26.25;  0.75;0
26;  0.75;0
 25.75;  0.75;0
 25.5;  0.75;0
 25.25;  0.75;0
25;  0.75;0
 24.75;  0.75;0
 24.5;  0.75;0
 24.25;  0.75;0
24;  0.75;0
 23.75;  0.75;0
 23.5;  0.75;0
 23.25;  0.75;0
23;  0.75;0
 22.75;  0.75;0
 22.5;  0.75;0
 22.25;  0.75;0
22;  0.75;0
 21.75;  0.75;0
 21.5;  0.75;0
 21.25;  0.75;0
21;  0.75;0
 20.75;  0.75;0
 20.5;  0.75;0
 20.25;  0.75;0
20;  0.75;0
 19.75;  0.75;0
 19.5;  0.75;0
 19.25;  0.75;0
19;  0.75;0
 18.75;  0.75;0
 18.5;  0.75;0
 18.25;  0.75;0
18;  0.75;0
 17.75;  0.75;0
 17.5;  0.75;0
 17.25;  0.75;0
17;  0.75;0
 16.75;  0.75;0
 16.5;  0.75;0
 16.25;  0.75;0
16;  0.75;0
 15.75;  0.75;0
 15.5;  0.75;0
 15.25;  0.75;0
15;  0.75;0
 14.75;  0.75;0
 14.5;  0.75;0
 14.25;  0.75;0
14;  0.75;0
 13.75;  0.75;0
 13.5;  0.75;0
 13.25;  0.75;0
13;  0.75;0
 12.75;  0.75;0
 12.5;  0.75;0
 12.25;  0.75;0
12;  0.75;0
 11.75;  0.75;0
 11.5;  0.75;0
 11.25;  0.75;0
11;  0.75;0
 10.75;  0.75;0
 10.5;  0.75;0
 10.25;  0.75;0
10;  0.75;0
 9.75;  0.75;0
 9.5;  0.75;0
 9.25;  0.75;0
9;  0.75;0
 8.75;  0.75;0
 8.5;  0.75;0
 8.25;  0.75;0
8;  0.75;0
 7.75;  0.75;0
 7.5;  0.75;0
 7.25;  0.75;0
7;  0.75;0
 6.75;  0.75;0
 6.5;  0.75;0
 6.25;  0.75;0
6;  0.75;0
 5.75;  0.75;0
 5.5;  0.75;0
 5.25;  0.75;0
5;  0.75;0
 4.75;  0.75;0
 4.5;  0.75;0
 4.25;  0.75;0
4;  0.75;0
 3.75;  0.75;0
 3.5;  0.75;0
 3.25;  0.75;0
3;  0.75;0
 2.75;  0.75;0
 2.5;  0.75;0
 2.25;  0.75;0
2;  0.75;0
 1.75;  0.75;0
 1.5;  0.75;0
 1.25;  0.75;0
1;  0.75;0
 0.75;  0.75;0
 0.5;  0.75;0
 0.25;  0.75;0
0;  0.75;0
47;1;0
 46.75;1;0
 46.5;1;0
 46.25;1;0
46;1;0
 45.75;1;0
 45.5;1;0
 45.25;1;0
45;1;0
 44.75;1;0
 44.5;1;0
 44.25;1;0
44;1;0
 43.75;1;0
 43.5;1;0
 43.25;1;0
43;1;0
 42.75;1;0
 42.5;1;0
 42.25;1;0
42;1;0
 41.75;1;0
 41.5;1;0
 41.25;1;0
41;1;0
 40.75;1;0
 40.5;1;0
 40.25;1;0
40;1;0
 39.75;1;0
 39.5;1;0
 39.25;1;0
39;1;0
 38.75;1;0
 38.5;1;0
 38.25;1;0
38;1;0
 37.75;1;0
 37.5;1;0
 37.25;1;0
37;1;0
 36.75;1;0
 36.5;1;0
 36.25;1;0
36;1;0
 35.75;1;0
 35.5;1;0
 35.25;1;0
35;1;0
 34.75;1;0
 34.5;1;0
 34.25;1;0
34;1;0
 33.75;1;0
 33.5;1;0
 33.25;1;0
33;1;0
 32.75;1;0
 32.5;1;0
 32.25;1;0
32;1;0
 31.75;1;0
 31.5;1;0
 31.25;1;0
31;1;0
 30.75;1;0
 30.5;1;0
 30.25;1;0
30;1;0
 29.75;1;0
 29.5;1;0
 29.25;1;0
29;1;0
 28.75;1;0
 28.5;1;0
 28.25;1;0
28;1;0
 27.75;1;0
 27.5;1;0
 27.25;1;0
27;1;0
 26.75;1;0
 26.5;1;0
 26.25;1;0
26;1;0
 25.75;1;0
 25.5;1;0
 25.25;1;0
25;1;0
 24.75;1;0
 24.5;1;0
 24.25;1;0
24;1;0
 23.75;1;0
 23.5;1;0
 23.25;1;0
23;1;0
 22.75;1;0
 22.5;1;0
 22.25;1;0
22;1;0
 21.75;1;0
 21.5;1;0
 21.25;1;0
21;1;0
 20.75;1;0
 20.5;1;0
 20.25;1;0
20;1;0
 19.75;1;0
 19.5;1;0
 19.25;1;0
19;1;0
 18.75;1;0
 18.5;1;0
 18.25;1;0
18;1;0
 17.75;1;0
 17.5;1;0
 17.25;1;0
17;1;0
 16.75;1;0
 16.5;1;0
 16.25;1;0
16;1;0
 15.75;1;0
 15.5;1;0
 15.25;1;0
15;1;0
 14.75;1;0
 14.5;1;0
 14.25;1;0
14;1;0
 13.75;1;0
 13.5;1;0
 13.25;1;0
13;1;0
 12.75;1;0
 12.5;1;0
 12.25;1;0
12;1;0
 11.75;1;0
 11.5;1;0
 11.25;1;0
11;1;0
 10.75;1;0
 10.5;1;0
 10.25;1;0
10;1;0
 9.75;1;0
 9.5;1;0
 9.25;1;0
9;1;0
 8.75;1;0
 8.5;1;0
 8.25;1;0
8;1;0
 7.75;1;0
 7.5;1;0
 7.25;1;0
7;1;0
 6.75;1;0
 6.5;1;0
 6.25;1;0
6;1;0
 5.75;1;0
 5.5;1;0
 5.25;1;0
5;1;0
 4.75;1;0
 4.5;1;0
 4.25;1;0
4;1;0
 3.75;1;0
 3.5;1;0
 3.25;1;0
3;1;0
 2.75;1;0
 2.5;1;0
 2.25;1;0
2;1;0
 1.75;1;0
 1.5;1;0
 1.25;1;0
1;1;0
 0.75;1;0
 0.5;1;0
 0.25;1;0
0;1;0
47;  1.25;0
 46.75;  1.25;0
 46.5;  1.25;0
 46.25;  1.25;0
46;  1.25;0
 45.75;  1.25;0
 45.5;  1.25;0
 45.25;  1.25;0
45;  1.25;0
 44.75;  1.25;0
 44.5;  1.25;0
 44.25;  1.25;0
44;  1.25;0
 43.75;  1.25;0
 43.5;  1.25;0
 43.25;  1.25;0
43;  1.25;0
43;  1.25;0
 42.5;1;0
42;  1.25;0
42;  1.25;0
 41.75;  1.25;0
 41.5;  1.25;0
 41.25;  1.25;0
41;  1.25;0
 40.75;  1.25;0
 40.5;  1.25;0
 40.25;  1.25;0
40;  1.25;0
 39.75;  1.25;0
 39.5;  1.25;0
 39.25;  1.25;0
39;  1.25;0
 38.75;  1.25;0
 38.5;  1.25;0
 38.25;  1.25;0
 37.75;1;0
 37.5;1;0
 37.5;  1.25;0
 37.25;  1.25;0
37;  1.25;0
 36.75;  1.25;0
 36.5;  1.25;0
 36.25;  1.25;0
36;  1.25;0
 35.75;  1.25;0
 35.5;  1.25;0
 35.25;  1.25;0
35;  1.25;0
 34.75;  1.25;0
 34.5;  1.25;0
 34.25;  1.25;0
34;  1.25;0
 33.75;  1.25;0
 33.5;  1.25;0
 33.25;  1.25;0
33;  1.25;0
 32.75;  1.25;0
 32.5;  1.25;0
 32.25;  1.25;0
32;  1.25;0
 31.75;  1.25;0
 31.5;  1.25;0
 31.25;  1.25;0
31;  1.25;0
 30.75;  1.25;0
 30.5;  1.25;0
 30.25;  1.25;0
30;  1.25;0
 29.75;  1.25;0
 29.5;  1.25;0
 29.25;  1.25;0
29;  1.25;0
 28.75;  1.25;0
 28.5;  1.25;0
 28.25;  1.25;0
28;  1.25;0
 27.75;  1.25;0
 27.5;  1.25;0
 27.25;  1.25;0
27;  1.25;0
 26.75;  1.25;0
 26.5;  1.25;0
 26.25;  1.25;0
26;  1.25;0
 25.75;  1.25;0
 25.5;  1.25;0
 25.25;  1.25;0
25;  1.25;0
 24.75;  1.25;0
 24.5;  1.25;0
 24.25;  1.25;0
24;  1.25;0
 23.75;  1.25;0
 23.5;  1.25;0
 23.25;  1.25;0
23;  1.25;0
 22.75;  1.25;0
 22.5;  1.25;0
 22.25;  1.25;0
22;  1.25;0
 21.75;  1.25;0
 21.5;  1.25;0
 21.25;  1.25;0
21;  1.25;0
 20.75;  1.25;0
 20.5;  1.25;0
 20.25;  1.25;0
20;  1.25;0
 19.75;  1.25;0
 19.5;  1.25;0
 19.25;  1.25;0
19;  1.25;0
 18.75;  1.25;0
 18.5;  1.25;0
 18.25;  1.25;0
18;  1.25;0
 17.75;  1.25;0
 17.5;  1.25;0
 17.25;  1.25;0
17;  1.25;0
 16.75;  1.25;0
 16.5;  1.25;0
 16.25;  1.25;0
16;  1.25;0
 15.75;  1.25;0
 15.5;  1.25;0
 15.25;  1.25;0
15;  1.25;0
 14.75;  1.25;0
 14.5;  1.25;0
 14.25;  1.25;0
14;  1.25;0
 13.75;  1.25;0
 13.5;  1.25;0
 13.25;  1.25;0
13;  1.25;0
 12.75;  1.25;0
 12.5;  1.25;0
 12.25;  1.25;0
12;  1.25;0
 11.75;  1.25;0
 11.5;  1.25;0
 11.25;  1.25;0
11;  1.25;0
 10.75;  1.25;0
 10.5;  1.25;0
 10.25;  1.25;0
10;  1.25;0
 9.75;  1.25;0
 9.5;  1.25;0
 9.25;  1.25;0
9;  1.25;0
 8.75;  1.25;0
 8.5;  1.25;0
 8.25;  1.25;0
8;  1.25;0
 7.75;  1.25;0
 7.5;  1.25;0
 7.25;  1.25;0
7;  1.25;0
 6.75;  1.25;0
 6.5;  1.25;0
 6.25;  1.25;0
6;  1.25;0
 5.75;  1.25;0
 5.5;  1.25;0
 5.25;  1.25;0
5;  1.25;0
 4.75;  1.25;0
 4.5;  1.25;0
 4.25;  1.25;0
4;  1.25;0
 3.75;  1.25;0
 3.5;  1.25;0
 3.25;  1.25;0
3;  1.25;0
 2.75;  1.25;0
 2.5;  1.25;0
 2.25;  1.25;0
2;  1.25;0
 1.75;  1.25;0
 1.5;  1.25;0
 1.25;  1.25;0
1;  1.25;0
 0.75;  1.25;0
 0.5;  1.25;0
 0.25;  1.25;0
0;  1.25;0
